medalType,medalDate,athleteName,countryName,disciplineName
Gold Medal,2021-07-31,FITZPATRICK Theresa,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,HIRINI Sarah,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,BRAZIER Kelly,New Zealand,Rugby Sevens
Silver Medal,2021-07-31,BERTRAND Coralie,France,Rugby Sevens
Silver Medal,2021-07-31,CIOFANI Anne-Cecile,France,Rugby Sevens
Silver Medal,2021-07-31,DROUIN Caroline,France,Rugby Sevens
Silver Medal,2021-07-31,GRASSINEAU Camille,France,Rugby Sevens
Silver Medal,2021-07-31,GUERIN Lina,France,Rugby Sevens
Silver Medal,2021-07-31,HORTA Fanny,France,Rugby Sevens
Silver Medal,2021-07-31,IZAR Shannon,France,Rugby Sevens
Silver Medal,2021-07-31,JACQUET Chloe,France,Rugby Sevens
Silver Medal,2021-07-31,ULUTULE Jade,France,Rugby Sevens
Silver Medal,2021-07-31,NEISEN Carla,France,Rugby Sevens
Silver Medal,2021-07-31,OKEMBA Seraphine,France,Rugby Sevens
Silver Medal,2021-07-31,PELLE Chloe,France,Rugby Sevens
Bronze Medal,2021-07-31,LIKUCEVA Laisana,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,ULUNISAU Reapi,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,ROQICA Ana,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,NAGASAU Rusila,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,SOLIKOVITI Vasiti,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,TINAI Lavenia,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,NAIMASI Ana Maria,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,RIWAI Viniana,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,RADINIYAVUNI Roela,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,NAKOCI Alowesi,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,DAVEUA Raijieli,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,CAVURU Lavena,Fiji,Rugby Sevens
Bronze Medal,2021-07-31,DONU Sesenieli,Fiji,Rugby Sevens
Gold Medal,2021-07-31,BADLOE Kiran,Netherlands,Sailing
Silver Medal,2021-07-31,GOYARD Thomas,France,Sailing
Bronze Medal,2021-07-31,BI Kun,People's Republic of China,Sailing
Gold Medal,2021-07-31,LU Yunxiu,People's Republic of China,Sailing
Silver Medal,2021-07-31,PICON Charline,France,Sailing
Bronze Medal,2021-07-31,WILSON Emma,Great Britain,Sailing
Gold Medal,2021-07-31,CHRISTEN Nina,Switzerland,Shooting
Silver Medal,2021-07-31,ZYKOVA Yulia,ROC,Shooting
Bronze Medal,2021-07-31,KARIMOVA Yulia,ROC,Shooting
Gold Medal,2021-07-31,FERNANDEZ Alberto,Spain,Shooting
Gold Medal,2021-07-31,GALVEZ Fatima,Spain,Shooting
Silver Medal,2021-07-31,PERILLI Alessandra,San Marino,Shooting
Silver Medal,2021-07-31,BERTI Gian Marco,San Marino,Shooting
Bronze Medal,2021-07-31,BERNAU Madelynn Ann,United States of America,Shooting
Bronze Medal,2021-07-31,BURROWS Brian,United States of America,Shooting
Gold Medal,2021-07-31,DRESSEL Caeleb,United States of America,Swimming
Silver Medal,2021-07-31,MILAK Kristof,Hungary,Swimming
Bronze Medal,2021-07-31,PONTI Noe,Switzerland,Swimming
Gold Medal,2021-07-31,ANDERSON Freya,Great Britain,Swimming
Gold Medal,2021-07-31,DAWSON Kathleen,Great Britain,Swimming
Gold Medal,2021-07-31,GUY James,Great Britain,Swimming
Gold Medal,2021-07-31,HOPKIN Anna,Great Britain,Swimming
Gold Medal,2021-07-31,PEATY Adam,Great Britain,Swimming
Silver Medal,2021-07-31,ZHANG Yufei,People's Republic of China,Swimming
Silver Medal,2021-07-31,YANG Junxuan,People's Republic of China,Swimming
Silver Medal,2021-07-31,YAN Zibei,People's Republic of China,Swimming
Silver Medal,2021-07-31,XU Jiayu,People's Republic of China,Swimming
Bronze Medal,2021-07-31,TEMPLE Matthew,Australia,Swimming
Bronze Medal,2021-07-31,THROSSELL Brianna,Australia,Swimming
Bronze Medal,2021-07-31,COOPER Isaac,Australia,Swimming
Bronze Medal,2021-07-31,STUBBLETY-COOK Izaac,Australia,Swimming
Bronze Medal,2021-07-31,McKEOWN Kaylee,Australia,Swimming
Bronze Medal,2021-07-31,McKEON Emma,Australia,Swimming
Bronze Medal,2021-07-31,CAMPBELL Bronte,Australia,Swimming
Gold Medal,2021-07-31,McKEOWN Kaylee,Australia,Swimming
Silver Medal,2021-07-31,MASSE Kylie,Canada,Swimming
Bronze Medal,2021-07-31,SEEBOHM Emily,Australia,Swimming
Gold Medal,2021-07-31,LEDECKY Kathleen,United States of America,Swimming
Silver Medal,2021-07-31,TITMUS Ariarne,Australia,Swimming
Bronze Medal,2021-07-31,QUADARELLA Simona,Italy,Swimming
Bronze Medal,2021-07-31,CARRENO BUSTA Pablo,Spain,Tennis
Bronze Medal,2021-07-31,PEERS John,Australia,Tennis
Bronze Medal,2021-07-31,BARTY Ashleigh,Australia,Tennis
Bronze Medal,2021-07-31,PIGOSSI Laura,Brazil,Tennis
Bronze Medal,2021-07-31,STEFANI Luisa,Brazil,Tennis
Gold Medal,2021-07-31,BENCIC Belinda,Switzerland,Tennis
Silver Medal,2021-07-31,VONDROUSOVA Marketa,Czech Republic,Tennis
Bronze Medal,2021-07-31,SVITOLINA Elina,Ukraine,Tennis
Gold Medal,2021-07-31,LITVINOVICH Ivan,Belarus,Trampoline Gymnastics
Silver Medal,2021-07-31,DONG Dong,People's Republic of China,Trampoline Gymnastics
Bronze Medal,2021-07-31,SCHMIDT Dylan,New Zealand,Trampoline Gymnastics
Gold Medal,2021-07-31,TAYLOR-BROWN Georgia,Great Britain,Triathlon
Gold Medal,2021-07-31,YEE Alex,Great Britain,Triathlon
Gold Medal,2021-07-31,BROWNLEE Jonathan,Great Britain,Triathlon
Gold Medal,2021-07-31,LEARMONTH Jessica,Great Britain,Triathlon
Silver Medal,2021-07-31,ZAFERES Katie,United States of America,Triathlon
Silver Medal,2021-07-31,PEARSON Morgan,United States of America,Triathlon
Silver Medal,2021-07-31,KNIBB Taylor,United States of America,Triathlon
Silver Medal,2021-07-31,McDOWELL Kevin,United States of America,Triathlon
Bronze Medal,2021-07-31,BEAUGRAND Cassandre,France,Triathlon
Bronze Medal,2021-07-31,CONINX Dorian,France,Triathlon
Bronze Medal,2021-07-31,LUIS Vincent,France,Triathlon
Bronze Medal,2021-07-31,PERIAULT Leonie,France,Triathlon
Gold Medal,2021-07-31,LYU Xiaojun,People's Republic of China,Weightlifting
Silver Medal,2021-07-31,BONNAT MICHEL Zacarias,Dominican Republic,Weightlifting
Bronze Medal,2021-07-31,PIZZOLATO Antonino,Italy,Weightlifting
Gold Medal,2021-07-31,ELBAKH Fares Ibrahim E H,Qatar,Weightlifting
Silver Medal,2021-07-31,VALLENILLA SANCHEZ Keydomar Giovan.,Venezuela,Weightlifting
Bronze Medal,2021-07-31,PLIESNOI Anton,Georgia,Weightlifting
Gold Medal,2021-08-01,DOLGOPYAT Artem,Israel,Artistic Gymnastics
Silver Medal,2021-08-01,ZAPATA Rayderley,Spain,Artistic Gymnastics
Bronze Medal,2021-08-01,XIAO Ruoteng,People's Republic of China,Artistic Gymnastics
Gold Medal,2021-08-01,WHITLOCK Max,Great Britain,Artistic Gymnastics
Silver Medal,2021-08-01,LEE Chih Kai,Chinese Taipei,Artistic Gymnastics
Bronze Medal,2021-08-01,KAYA Kazuma,Japan,Artistic Gymnastics
Gold Medal,2021-08-01,DERWAEL Nina,Belgium,Artistic Gymnastics
Silver Medal,2021-08-01,ILIANKOVA Anastasiia,ROC,Artistic Gymnastics
Bronze Medal,2021-08-01,LEE Sunisa,United States of America,Artistic Gymnastics
Gold Medal,2021-08-01,ANDRADE Rebeca,Brazil,Artistic Gymnastics
Silver Medal,2021-08-01,SKINNER Mykayla,United States of America,Artistic Gymnastics
Bronze Medal,2021-08-01,YEO Seojeong,Republic of Korea,Artistic Gymnastics
Gold Medal,2021-08-01,JACOBS Lamont Marcell,Italy,Athletics
Silver Medal,2021-08-01,KERLEY Fred,United States of America,Athletics
Bronze Medal,2021-08-01,de GRASSE Andre,Canada,Athletics
Gold Medal,2021-08-01,BARSHIM Mutaz Essa,Qatar,Athletics
Gold Medal,2021-08-01,TAMBERI Gianmarco,Italy,Athletics
Bronze Medal,2021-08-01,NEDASEKAU Maksim,Belarus,Athletics
Gold Medal,2021-08-01,GONG Lijiao,People's Republic of China,Athletics
Silver Medal,2021-08-01,SAUNDERS Raven,United States of America,Athletics
Bronze Medal,2021-08-01,ADAMS Valerie,New Zealand,Athletics
Gold Medal,2021-08-01,ROJAS Yulimar,Venezuela,Athletics
Silver Medal,2021-08-01,MAMONA Patricia,Portugal,Athletics
Bronze Medal,2021-08-01,PELETEIRO Ana,Spain,Athletics
Gold Medal,2021-08-01,CHEN Yu Fei,People's Republic of China,Badminton
Silver Medal,2021-08-01,TAI Tzu-Ying,Chinese Taipei,Badminton
Bronze Medal,2021-08-01,PUSARLA V. Sindhu,India,Badminton
Bronze Medal,2021-08-01,ALFONSO DOMINGUEZ Loren Berto,Azerbaijan,Boxing
Bronze Medal,2021-08-01,KHATAEV Imam,ROC,Boxing
Bronze Medal,2021-08-01,WALSH Aidan,Ireland,Boxing
Bronze Medal,2021-08-01,ZAMKOVOI Andrei,ROC,Boxing
Gold Medal,2021-08-01,MARTIN Logan,Australia,Cycling BMX Freestyle
Silver Medal,2021-08-01,DHERS Daniel,Venezuela,Cycling BMX Freestyle
Bronze Medal,2021-08-01,BROOKS Declan,Great Britain,Cycling BMX Freestyle
Gold Medal,2021-08-01,WORTHINGTON Charlotte,Great Britain,Cycling BMX Freestyle
Silver Medal,2021-08-01,ROBERTS Hannah,United States of America,Cycling BMX Freestyle
Bronze Medal,2021-08-01,DUCARROZ Nikita,Switzerland,Cycling BMX Freestyle
Gold Medal,2021-08-01,SHI Tingmao,People's Republic of China,Diving
Silver Medal,2021-08-01,WANG Han,People's Republic of China,Diving
Bronze Medal,2021-08-01,PALMER Krysta,United States of America,Diving
Gold Medal,2021-08-01,le PECHOUX Erwann,France,Fencing
Gold Medal,2021-08-01,LEFORT Enzo,France,Fencing
Gold Medal,2021-08-01,MERTINE Julien,France,Fencing
Gold Medal,2021-08-01,PAUTY Maxime,France,Fencing
Silver Medal,2021-08-01,SAFIN Timur,ROC,Fencing
Silver Medal,2021-08-01,BORODACHEV Kirill,ROC,Fencing
Silver Medal,2021-08-01,BORODACHEV Anton,ROC,Fencing
Silver Medal,2021-08-01,MYLNIKOV Vladislav,ROC,Fencing
Bronze Medal,2021-08-01,ITKIN Nick,United States of America,Fencing
Bronze Medal,2021-08-01,IMBODEN Race,United States of America,Fencing
Bronze Medal,2021-08-01,MASSIALAS Alexander,United States of America,Fencing
Bronze Medal,2021-08-01,MEINHARDT Gerek,United States of America,Fencing
Gold Medal,2021-08-01,SCHAUFFELE Xander,United States of America,Golf
Silver Medal,2021-08-01,SABBATINI Rory,Slovakia,Golf
Bronze Medal,2021-08-01,PAN C T,Chinese Taipei,Golf
Gold Medal,2021-08-01,WEARN Matt,Australia,Sailing
Silver Medal,2021-08-01,STIPANOVIC Tonci,Croatia,Sailing
Bronze Medal,2021-08-01,TOMASGAARD Hermann,Norway,Sailing
Gold Medal,2021-08-01,RINDOM Anne-Marie,Denmark,Sailing
Silver Medal,2021-08-01,OLSSON Josefin,Sweden,Sailing
Bronze Medal,2021-08-01,BOUWMEESTER Marit,Netherlands,Sailing
Gold Medal,2021-08-01,FINKE Robert,United States of America,Swimming
Silver Medal,2021-08-01,ROMANCHUK Mykhailo,Ukraine,Swimming
Bronze Medal,2021-08-01,WELLBROCK Florian,Germany,Swimming
Gold Medal,2021-08-01,ARMSTRONG Joseph,United States of America,Swimming
Gold Medal,2021-08-01,WILSON Andrew,United States of America,Swimming
Gold Medal,2021-08-01,DRESSEL Caeleb,United States of America,Swimming
Gold Medal,2021-08-01,APPLE Zach,United States of America,Swimming
Gold Medal,2021-08-01,SHIELDS Tom,United States of America,Swimming
Gold Medal,2021-08-01,PIERONI Blake,United States of America,Swimming
Gold Medal,2021-08-01,ANDREW Michael,United States of America,Swimming
Gold Medal,2021-08-01,MURPHY Ryan,United States of America,Swimming
Silver Medal,2021-08-01,WILBY James,Great Britain,Swimming
Silver Medal,2021-08-01,SCOTT Duncan,Great Britain,Swimming
Silver Medal,2021-08-01,GREENBANK Luke,Great Britain,Swimming
Silver Medal,2021-08-01,GUY James,Great Britain,Swimming
Silver Medal,2021-08-01,PEATY Adam,Great Britain,Swimming
Bronze Medal,2021-08-01,MIRESSI Alessandro,Italy,Swimming
Bronze Medal,2021-08-01,MARTINENGHI Nicolo,Italy,Swimming
Bronze Medal,2021-08-01,CECCON Thomas,Italy,Swimming
Bronze Medal,2021-08-01,BURDISSO Federico,Italy,Swimming
Gold Medal,2021-08-01,DRESSEL Caeleb,United States of America,Swimming
Silver Medal,2021-08-01,MANAUDOU Florent,France,Swimming
Bronze Medal,2021-08-01,FRATUS Bruno,Brazil,Swimming
Gold Medal,2021-08-01,O'CALLAGHAN Mollie,Australia,Swimming
Gold Medal,2021-08-01,THROSSELL Brianna,Australia,Swimming
Gold Medal,2021-08-01,SEEBOHM Emily,Australia,Swimming
Gold Medal,2021-08-01,HODGES Chelsea,Australia,Swimming
Gold Medal,2021-08-01,McKEON Emma,Australia,Swimming
Gold Medal,2021-08-01,CAMPBELL Cate,Australia,Swimming
Gold Medal,2021-08-01,McKEOWN Kaylee,Australia,Swimming
Silver Medal,2021-08-01,SMITH Regan,United States of America,Swimming
Silver Medal,2021-08-01,KING Lilly,United States of America,Swimming
Silver Medal,2021-08-01,HUSKE Torri,United States of America,Swimming
Silver Medal,2021-08-01,CURZAN Claire,United States of America,Swimming
Silver Medal,2021-08-01,WEITZEIL Abbey,United States of America,Swimming
Silver Medal,2021-08-01,BROWN Erika,United States of America,Swimming
Silver Medal,2021-08-01,JACOBY Lydia,United States of America,Swimming
Silver Medal,2021-08-01,WHITE Rhyan Elizabeth,United States of America,Swimming
Bronze Medal,2021-08-01,RUCK Taylor,Canada,Swimming
Bronze Medal,2021-08-01,MACNEIL Margaret,Canada,Swimming
Bronze Medal,2021-08-01,SANCHEZ Kayla,Canada,Swimming
Bronze Medal,2021-08-01,MASSE Kylie,Canada,Swimming
Bronze Medal,2021-08-01,PICKREM Sydney,Canada,Swimming
Bronze Medal,2021-08-01,OLEKSIAK Penny,Canada,Swimming
Gold Medal,2021-08-01,McKEON Emma,Australia,Swimming
Silver Medal,2021-08-01,SJOESTROEM Sarah,Sweden,Swimming
Bronze Medal,2021-08-01,BLUME Pernille,Denmark,Swimming
Gold Medal,2021-08-01,ZVEREV Alexander,Germany,Tennis
Silver Medal,2021-08-01,KHACHANOV Karen,ROC,Tennis
Gold Medal,2021-08-01,RUBLEV Andrey,ROC,Tennis
Gold Medal,2021-08-01,PAVLYUCHENKOVA Anastasia,ROC,Tennis
Silver Medal,2021-08-01,KARATSEV Aslan,ROC,Tennis
Silver Medal,2021-08-01,VESNINA Elena,ROC,Tennis
Gold Medal,2021-08-01,KREJCIKOVA Barbora,Czech Republic,Tennis
Gold Medal,2021-08-01,SINIAKOVA Katerina,Czech Republic,Tennis
Silver Medal,2021-08-01,BENCIC Belinda,Switzerland,Tennis
Silver Medal,2021-08-01,GOLUBIC Viktorija,Switzerland,Tennis
Gold Medal,2021-08-01,DAJOMES BARRERA Neisi Patricia,Ecuador,Weightlifting
Silver Medal,2021-08-01,NYE Katherine Elizabeth,United States of America,Weightlifting
Bronze Medal,2021-08-01,FUENTES ZAVALA Aremi,Mexico,Weightlifting
Gold Medal,2021-08-02,LIU Yang,People's Republic of China,Artistic Gymnastics
Silver Medal,2021-08-02,YOU Hao,People's Republic of China,Artistic Gymnastics
Bronze Medal,2021-08-02,PETROUNIAS Eleftherios,Greece,Artistic Gymnastics
Gold Medal,2021-08-02,SHIN Jeahwan,Republic of Korea,Artistic Gymnastics
Silver Medal,2021-08-02,ABLIAZIN Denis,ROC,Artistic Gymnastics
Bronze Medal,2021-08-02,DAVTYAN Artur,Armenia,Artistic Gymnastics
Gold Medal,2021-08-02,CAREY Jade,United States of America,Artistic Gymnastics
Silver Medal,2021-08-02,FERRARI Vanessa,Italy,Artistic Gymnastics
Bronze Medal,2021-08-02,MURAKAMI Mai,Japan,Artistic Gymnastics
Bronze Medal,2021-08-02,MELNIKOVA Angelina,ROC,Artistic Gymnastics
Gold Medal,2021-08-02,EL BAKKALI Soufiane,Morocco,Athletics
Silver Medal,2021-08-02,GIRMA Lamecha,Ethiopia,Athletics
Bronze Medal,2021-08-02,KIGEN Benjamin,Kenya,Athletics
Gold Medal,2021-08-02,TENTOGLOU Miltiadis,Greece,Athletics
Silver Medal,2021-08-02,ECHEVARRIA Juan Miguel,Cuba,Athletics
Bronze Medal,2021-08-02,MASSO Maykel,Cuba,Athletics
Gold Medal,2021-08-02,CAMACHO-QUINN Jasmine,Puerto Rico,Athletics
Silver Medal,2021-08-02,HARRISON Kendra,United States of America,Athletics
Bronze Medal,2021-08-02,TAPPER Megan,Jamaica,Athletics
Gold Medal,2021-08-02,HASSAN Sifan,Netherlands,Athletics
Silver Medal,2021-08-02,OBIRI Hellen,Kenya,Athletics
Bronze Medal,2021-08-02,TSEGAY Gudaf,Ethiopia,Athletics
Gold Medal,2021-08-02,ALLMAN Valarie,United States of America,Athletics
Silver Medal,2021-08-02,PUDENZ Kristin,Germany,Athletics
Bronze Medal,2021-08-02,PEREZ Yaime,Cuba,Athletics
Gold Medal,2021-08-02,AXELSEN Viktor,Denmark,Badminton
Silver Medal,2021-08-02,CHEN Long,People's Republic of China,Badminton
Bronze Medal,2021-08-02,GINTING Anthony Sinisuka,Indonesia,Badminton
Gold Medal,2021-08-02,Greysia POLII,Indonesia,Badminton
Gold Medal,2021-08-02,RAHAYU Apriyani,Indonesia,Badminton
Silver Medal,2021-08-02,CHEN Qing Chen,People's Republic of China,Badminton
Silver Medal,2021-08-02,JIA Yi Fan,People's Republic of China,Badminton
Bronze Medal,2021-08-02,KIM Soyeong,Republic of Korea,Badminton
Bronze Medal,2021-08-02,KONG Heeyong,Republic of Korea,Badminton
Gold Medal,2021-08-02,ZHONG Tianshi,People's Republic of China,Cycling Track
Gold Medal,2021-08-02,BAO Shanju,People's Republic of China,Cycling Track
Silver Medal,2021-08-02,HINZE Emma,Germany,Cycling Track
Silver Medal,2021-08-02,FRIEDRICH Lea Sophie,Germany,Cycling Track
Bronze Medal,2021-08-02,VOINOVA Anastasiia,ROC,Cycling Track
Bronze Medal,2021-08-02,SHMELEVA Daria,ROC,Cycling Track
Gold Medal,2021-08-02,KRAJEWSKI Julia,Germany,Equestrian
Silver Medal,2021-08-02,McEWEN Tom,Great Britain,Equestrian
Bronze Medal,2021-08-02,HOY Andrew,Australia,Equestrian
Gold Medal,2021-08-02,McEWEN Tom,Great Britain,Equestrian
Gold Medal,2021-08-02,TOWNEND Oliver,Great Britain,Equestrian
Gold Medal,2021-08-02,COLLETT Laura,Great Britain,Equestrian
Silver Medal,2021-08-02,ROSE Shane,Australia,Equestrian
Silver Medal,2021-08-02,McNAB Kevin,Australia,Equestrian
Silver Medal,2021-08-02,HOY Andrew,Australia,Equestrian
Bronze Medal,2021-08-02,LAGHOUAG Karim Florent,France,Equestrian
Bronze Medal,2021-08-02,SIX Christopher,France,Equestrian
Bronze Medal,2021-08-02,TOUZAINT Nicolas,France,Equestrian
Gold Medal,2021-08-02,QUIQUAMPOIX Jean,France,Shooting
Silver Medal,2021-08-02,PUPO Leuris,Cuba,Shooting
Bronze Medal,2021-08-02,LI Yuehong,People's Republic of China,Shooting
Gold Medal,2021-08-02,ZHANG Changhong,People's Republic of China,Shooting
Silver Medal,2021-08-02,KAMENSKIY Sergey,ROC,Shooting
Bronze Medal,2021-08-02,SEBIC Milenko,Serbia,Shooting
Gold Medal,2021-08-02,LI Wenwen,People's Republic of China,Weightlifting
Silver Medal,2021-08-02,CAMPBELL Emily Jade,Great Britain,Weightlifting
Bronze Medal,2021-08-02,ROBLES Sarah Elizabeth,United States of America,Weightlifting
Gold Medal,2021-08-02,WANG Zhouyu,People's Republic of China,Weightlifting
Silver Medal,2021-08-02,SALAZAR ARCE Tamara Yajaira,Ecuador,Weightlifting
Bronze Medal,2021-08-02,SANTANA PEGUERO Crismery Dominga,Dominican Republic,Weightlifting
Gold Medal,2021-08-02,LOPEZ NUNEZ Mijain,Cuba,Wrestling
Silver Medal,2021-08-02,KAJAIA Iakobi,Georgia,Wrestling
Bronze Medal,2021-08-02,KAYAALP Riza,Turkey,Wrestling
Bronze Medal,2021-08-02,SEMENOV Sergei,ROC,Wrestling
Gold Medal,2021-08-02,ORTA SANCHEZ Luis Alberto,Cuba,Wrestling
Silver Medal,2021-08-02,FUMITA Kenichiro,Japan,Wrestling
Bronze Medal,2021-08-02,EMELIN Sergey,ROC,Wrestling
Bronze Medal,2021-08-02,WALIHAN Sailike,People's Republic of China,Wrestling
Gold Medal,2021-08-02,ROTTER FOCKEN Aline,Germany,Wrestling
Silver Medal,2021-08-02,GRAY Adeline Maria,United States of America,Wrestling
Bronze Medal,2021-08-02,ADAR Yasemin,Turkey,Wrestling
Bronze Medal,2021-08-02,ZHOU Qian,People's Republic of China,Wrestling
Gold Medal,2021-08-03,HASHIMOTO Daiki,Japan,Artistic Gymnastics
Silver Medal,2021-08-03,SRBIC Tin,Croatia,Artistic Gymnastics
Bronze Medal,2021-08-03,NAGORNYY Nikita,ROC,Artistic Gymnastics
Gold Medal,2021-08-03,ZOU Jingyuan,People's Republic of China,Artistic Gymnastics
Silver Medal,2021-08-03,DAUSER Lukas,Germany,Artistic Gymnastics
Bronze Medal,2021-08-03,ARICAN Ferhat,Turkey,Artistic Gymnastics
Gold Medal,2021-08-03,GUAN Chenchen,People's Republic of China,Artistic Gymnastics
Silver Medal,2021-08-03,TANG Xijing,People's Republic of China,Artistic Gymnastics
Bronze Medal,2021-08-03,BILES Simone,United States of America,Artistic Gymnastics
Gold Medal,2021-08-03,WARHOLM Karsten,Norway,Athletics
Silver Medal,2021-08-03,BENJAMIN Rai,United States of America,Athletics
Bronze Medal,2021-08-03,dos SANTOS Alison,Brazil,Athletics
Gold Medal,2021-08-03,DUPLANTIS Armand,Sweden,Athletics
Silver Medal,2021-08-03,NILSEN Christopher,United States of America,Athletics
Bronze Medal,2021-08-03,BRAZ Thiago,Brazil,Athletics
Gold Medal,2021-08-03,THOMPSON-HERAH Elaine,Jamaica,Athletics
Silver Medal,2021-08-03,MBOMA Christine,Namibia,Athletics
Bronze Medal,2021-08-03,THOMAS Gabrielle,United States of America,Athletics
Gold Medal,2021-08-03,MU Athing,United States of America,Athletics
Silver Medal,2021-08-03,HODGKINSON Keely,Great Britain,Athletics
Bronze Medal,2021-08-03,ROGERS Raevyn,United States of America,Athletics
Gold Medal,2021-08-03,WLODARCZYK Anita,Poland,Athletics
Silver Medal,2021-08-03,WANG Zheng,People's Republic of China,Athletics
Bronze Medal,2021-08-03,KOPRON Malwina,Poland,Athletics
Gold Medal,2021-08-03,MIHAMBO Malaika,Germany,Athletics
Silver Medal,2021-08-03,REESE Brittney,United States of America,Athletics
Bronze Medal,2021-08-03,BRUME Ese,Nigeria,Athletics
Bronze Medal,2021-08-03,ALVAREZ Lazaro,Cuba,Boxing
Bronze Medal,2021-08-03,TAKYI Samuel,Ghana,Boxing
Bronze Medal,2021-08-03,NYIKA David,New Zealand,Boxing
Bronze Medal,2021-08-03,TEIXEIRA Abner,Brazil,Boxing
Gold Medal,2021-08-03,IGLESIAS Roniel,Cuba,Boxing
Silver Medal,2021-08-03,McCORMACK Pat,Great Britain,Boxing
Gold Medal,2021-08-03,IRIE Sena,Japan,Boxing
Silver Medal,2021-08-03,PETECIO Nesthy,Philippines,Boxing
Gold Medal,2021-08-03,JORGE ENRIQUEZ Fernando Dayan,Cuba,Canoe Sprint
Gold Medal,2021-08-03,TORRES MADRIGAL Serguey,Cuba,Canoe Sprint
Silver Medal,2021-08-03,LIU Hao,People's Republic of China,Canoe Sprint
Silver Medal,2021-08-03,ZHENG Pengfei,People's Republic of China,Canoe Sprint
Bronze Medal,2021-08-03,HECKER Tim,Germany,Canoe Sprint
Bronze Medal,2021-08-03,BRENDEL Sebastian,Germany,Canoe Sprint
Gold Medal,2021-08-03,KOPASZ Balint,Hungary,Canoe Sprint
Silver Medal,2021-08-03,VARGA Adam,Hungary,Canoe Sprint
Bronze Medal,2021-08-03,PIMENTA Fernando,Portugal,Canoe Sprint
Gold Medal,2021-08-03,CARRINGTON Lisa,New Zealand,Canoe Sprint
Gold Medal,2021-08-03,REGAL Caitlin,New Zealand,Canoe Sprint
Silver Medal,2021-08-03,PULAWSKA Anna,Poland,Canoe Sprint
Silver Medal,2021-08-03,NAJA Karolina,Poland,Canoe Sprint
Bronze Medal,2021-08-03,KOZAK Danuta,Hungary,Canoe Sprint
Bronze Medal,2021-08-03,BODONYI Dora,Hungary,Canoe Sprint
Gold Medal,2021-08-03,CARRINGTON Lisa,New Zealand,Canoe Sprint
Silver Medal,2021-08-03,PORTELA Teresa,Spain,Canoe Sprint
Bronze Medal,2021-08-03,JORGENSEN Emma Aastrand,Denmark,Canoe Sprint
Gold Medal,2021-08-03,van den BERG Roy,Netherlands,Cycling Track
Gold Medal,2021-08-03,HOOGLAND Jeffrey,Netherlands,Cycling Track
Gold Medal,2021-08-03,BUCHLI Matthijs,Netherlands,Cycling Track
Gold Medal,2021-08-03,LAVREYSEN Harrie,Netherlands,Cycling Track
Silver Medal,2021-08-03,CARLIN Jack,Great Britain,Cycling Track
Silver Medal,2021-08-03,KENNY Jason,Great Britain,Cycling Track
Silver Medal,2021-08-03,OWENS Ryan,Great Britain,Cycling Track
Bronze Medal,2021-08-03,VIGIER Sebastien,France,Cycling Track
Bronze Medal,2021-08-03,HELAL Rayan,France,Cycling Track
Bronze Medal,2021-08-03,GRENGBO Florian,France,Cycling Track
Gold Medal,2021-08-03,BRENNAUER Lisa,Germany,Cycling Track
Gold Medal,2021-08-03,BRAUSSE Franziska,Germany,Cycling Track
Gold Medal,2021-08-03,KROEGER Mieke,Germany,Cycling Track
Gold Medal,2021-08-03,KLEIN Lisa,Germany,Cycling Track
Silver Medal,2021-08-03,ARCHIBALD Katie,Great Britain,Cycling Track
Silver Medal,2021-08-03,BARKER Elinor,Great Britain,Cycling Track
Silver Medal,2021-08-03,EVANS Neah,Great Britain,Cycling Track
Silver Medal,2021-08-03,KENNY Laura,Great Britain,Cycling Track
Silver Medal,2021-08-03,KNIGHT Josie,Great Britain,Cycling Track
Bronze Medal,2021-08-03,WILLIAMS Lily,United States of America,Cycling Track
Bronze Medal,2021-08-03,DYGERT Chloe,United States of America,Cycling Track
Bronze Medal,2021-08-03,WHITE Emma,United States of America,Cycling Track
Bronze Medal,2021-08-03,VALENTE Jennifer,United States of America,Cycling Track
Bronze Medal,2021-08-03,JASTRAB Megan,United States of America,Cycling Track
Gold Medal,2021-08-03,XIE Siyi,People's Republic of China,Diving
Silver Medal,2021-08-03,WANG Zongyuan,People's Republic of China,Diving
Bronze Medal,2021-08-03,LAUGHER Jack,Great Britain,Diving
Gold Medal,2021-08-03,SCOTT Giles,Great Britain,Sailing
Silver Medal,2021-08-03,BERECZ Zsombor,Hungary,Sailing
Bronze Medal,2021-08-03,CARDONA MENDEZ Joan,Spain,Sailing
Gold Medal,2021-08-03,BITHELL Stuart,Great Britain,Sailing
Gold Medal,2021-08-03,FLETCHER Dylan,Great Britain,Sailing
